"filename", "language", "JavaScript", "Markdown", "JSON with Comments", "Log", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Miracle\Desktop\LAS\frontend\las\README.md", "Markdown", 0, -19, 0, 0, 0, 0, 0, 0, -6, -25
"c:\Users\Miracle\Desktop\LAS\frontend\las\babel.config.js", "JavaScript", -5, 0, 0, 0, 0, 0, 0, 0, -1, -6
"c:\Users\Miracle\Desktop\LAS\frontend\las\debug.log", "Log", 0, 0, 0, -2, 0, 0, 0, 0, -1, -3
"c:\Users\Miracle\Desktop\LAS\frontend\las\jsconfig.json", "JSON with Comments", 0, 0, -8, 0, 0, 0, 0, -12, 0, -20
"c:\Users\Miracle\Desktop\LAS\frontend\las\package-lock.json", "JSON", 0, 0, 0, 0, -21233, 0, 0, 0, -1, -21234
"c:\Users\Miracle\Desktop\LAS\frontend\las\package.json", "JSON", 0, 0, 0, 0, -52, 0, 0, 0, -1, -53
"c:\Users\Miracle\Desktop\LAS\frontend\las\public\failure.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Miracle\Desktop\LAS\frontend\las\public\graph.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Miracle\Desktop\LAS\frontend\las\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, -16, -1, -1, -18
"c:\Users\Miracle\Desktop\LAS\frontend\las\public\medal.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Miracle\Desktop\LAS\frontend\las\public\user.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Miracle\Desktop\LAS\frontend\las\vue.config.js", "JavaScript", -4, 0, 0, 0, 0, 0, 0, 0, -1, -5
"Total", "-", -9, -19, -8, -2, -21285, -4, -16, -13, -12, -21368
