"filename", "language", "JavaScript", "Vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\App.vue", "Vue", 0, 21, 0, 0, 0, 5, 26
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\assets\img\quit.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\assets\img\rise.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\assets\styles\base.scss", "SCSS", 0, 0, 15, 0, 0, 0, 15
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\assets\styles\default.scss", "SCSS", 0, 0, 4, 0, 4, 3, 11
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\common\request\index.js", "JavaScript", 201, 0, 0, 0, 32, 21, 254
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\components\AdvantageRadar.vue", "Vue", 0, 137, 0, 0, 4, 8, 149
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\components\FilterBar.vue", "Vue", 0, 87, 0, 0, 0, 4, 91
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\components\GpaChangeLine.vue", "Vue", 0, 86, 0, 0, 0, 6, 92
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\components\GpaDistribution.vue", "Vue", 0, 135, 0, 0, 2, 11, 148
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\components\StasticCard.vue", "Vue", 0, 146, 0, 0, 1, 15, 162
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\main.js", "JavaScript", 8, 0, 0, 0, 2, 2, 12
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\FirstPage\index.vue", "Vue", 0, 135, 0, 0, 0, 11, 146
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\components\AdminCreateDialog.vue", "Vue", 0, 113, 0, 0, 0, 4, 117
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\components\AdminInfoDialog.vue", "Vue", 0, 119, 0, 0, 0, 4, 123
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\components\AdminInfoSuccessDialog.vue", "Vue", 0, 121, 0, 0, 0, 4, 125
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\components\IndicatorSetDialog.vue", "Vue", 0, 143, 0, 0, 1, 12, 156
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\components\StudentInfoDialog.vue", "Vue", 0, 158, 0, 0, 0, 10, 168
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\components\StudentScoreDialog.vue", "Vue", 0, 314, 0, 0, 0, 27, 341
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\components\StudentWarningDialog.vue", "Vue", 0, 28, 0, 0, 1, 4, 33
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\index.vue", "Vue", 0, 205, 0, 0, 0, 19, 224
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\views\AccountManage.vue", "Vue", 0, 92, 0, 0, 0, 5, 97
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\views\AdminInfo.vue", "Vue", 0, 194, 0, 0, 0, 8, 202
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\views\ClassScore.vue", "Vue", 0, 291, 0, 0, 6, 16, 313
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\views\FileManage.vue", "Vue", 0, 233, 0, 0, 0, 12, 245
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\views\GradeCompare.vue", "Vue", 0, 226, 0, 0, 0, 15, 241
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\views\GradeScore.vue", "Vue", 0, 335, 0, 0, 0, 16, 351
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\views\StudentInfo.vue", "Vue", 0, 120, 0, 0, 0, 5, 125
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\pages\MainPage\views\StudentWarning.vue", "Vue", 0, 189, 0, 0, 1, 17, 207
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\router\index.js", "JavaScript", 62, 0, 0, 0, 0, 4, 66
"c:\Users\Miracle\Desktop\LAS\frontend\las\src\store\index.js", "JavaScript", 13, 0, 0, 0, 0, 2, 15
"Total", "-", 284, 3628, 19, 2, 54, 270, 4257
